# rtk_tile_id,tile533_frame,observations
# Generated by: python re/render_rtk_maps.py --learn-tiles
# What a 7.x-only ground tile should look like, learned from the same room in the
# 4.95 world. Only ids past 5.33 TILE.EPF frame 28550 appear here.
28570,1670,19
28975,1128,4
29347,312,3
29348,312,4
29659,18086,4
29660,18086,7
29661,18086,9
29662,1128,4
29663,1128,3
29664,1128,3
29669,1128,5
29801,1128,4
30271,43,11
30283,43,11
30288,43,4
30335,43,4
30347,859,3
30349,859,5
30516,43,5
30681,43,3
30852,449,114
31208,64,4
31215,43,14
31217,43,97
31224,43,13
31229,43,17
31233,43,3
31272,21,6
31339,801,80
31531,1670,10
31536,1670,12
31689,43,21
31733,234,8
32416,305,3
32419,307,3
32422,298,4
32425,298,4
34051,298,3
34056,298,3
35716,21,20
35751,43,4
35752,43,5
36260,1670,3
36267,1670,3
36268,1670,3
36272,21,3
36274,21,3
36279,21,5
36284,21,7
36285,21,4
36289,21,6
36291,21,10
36292,21,3
