SpnId,SpnMobId,SpnMapId,SpnX,SpnY,SpnLastDeath,SpnStartTime,SpnEndTime,SpnMobIdReplace
5,2,4711,6,6,1551192613,1,25,0
7,4,0,29,4,1566139286,25,25,0
8,2,0,39,6,1563338117,25,25,0
9,6,0,50,3,1566948262,25,25,0
10,6,0,55,7,1566711872,25,25,0
11,3,0,49,3,1565857750,25,25,0
12,4,0,80,7,1566257212,25,25,0
13,2,0,83,2,1563338117,25,25,0
14,2,0,106,1,1567280373,25,25,0
15,6,0,114,3,1567223517,25,25,0
16,6,0,116,3,1567138306,25,25,0
17,6,0,127,1,1566781584,25,25,0
18,2,0,124,1,1567133623,25,25,0
19,7,0,131,1,1563762477,25,25,0
20,1,0,135,4,1563746758,25,25,0
21,2,0,145,2,1565363586,25,25,0
22,2,0,144,6,1565363585,25,25,0
23,6,0,159,6,1566715522,25,25,0
24,2,0,157,1,1563338117,25,25,0
25,6,0,163,6,1566846061,25,25,0
26,1,0,165,6,1563338117,25,25,0
27,4,0,169,7,1563338117,25,25,0
28,4,0,196,3,1563338117,25,25,0
29,1,0,214,3,1563338117,25,25,0
30,6,0,42,12,1567136536,25,25,0
31,2,0,42,11,1567222777,25,25,0
32,7,0,48,11,1563338118,25,25,0
33,4,0,54,11,1567222772,25,25,0
34,3,0,100,15,1567235197,25,25,0
35,1,0,101,12,1567286150,25,25,0
36,6,0,120,15,1567227704,25,25,0
37,6,0,156,15,1566614048,25,25,0
38,4,0,173,10,1566940625,25,25,0
39,2,0,194,13,1566358306,25,25,0
40,6,0,204,13,1567272162,25,25,0
41,1,0,215,8,1563338117,25,25,0
42,6,0,6,19,1567135216,25,25,0
43,2,0,32,22,1566968742,25,25,0
44,6,0,63,21,1567244342,25,25,0
45,3,0,59,19,1567220842,25,25,0
46,1,0,83,17,1567223670,25,25,0
47,4,0,98,16,1567223462,25,25,0
48,1,0,98,17,1567244314,25,25,0
49,2,0,111,22,1567187277,25,25,0
50,1,0,107,16,1567259937,25,25,0
51,6,0,157,20,1566781402,25,25,0
52,2,0,6,24,1566139257,25,25,0
53,1,0,15,24,1567224855,25,25,0
54,3,0,102,27,1567224702,25,25,0
55,3,0,106,26,1567224695,25,25,0
56,1,0,109,24,1567244301,25,25,0
57,3,0,143,30,1567213642,25,25,0
58,7,0,151,31,1563338117,25,25,0
59,1,0,150,27,1567213542,25,25,0
60,2,0,156,28,1567213625,25,25,0
61,1,0,175,28,1567213336,25,25,0
62,4,0,207,27,1566358286,25,25,0
63,1,0,207,26,1564327203,25,25,0
64,2,0,215,26,1566672517,25,25,0
65,1,0,209,25,1566358284,25,25,0
66,1,0,19,32,1567224848,25,25,0
67,2,0,40,35,1567181560,25,25,0
68,3,0,58,33,1567220499,25,25,0
69,3,0,116,34,1567224710,25,25,0
70,2,0,130,32,1567244353,25,25,0
71,1,0,128,32,1567244346,25,25,0
72,1,0,174,34,1567213552,25,25,0
73,1,0,16,42,1567222806,25,25,0
74,1,0,51,46,1567051144,25,25,0
75,1,0,49,46,1567224791,25,25,0
76,4,0,89,45,1566957687,25,25,0
77,4,0,107,45,1567216428,25,25,0
78,6,0,136,43,1567244262,25,25,0
79,1,0,163,43,1563338117,25,25,0
80,4,0,183,40,1567213556,25,25,0
81,6,0,209,45,1566276147,25,25,0
82,4,0,208,44,1566511205,25,25,0
83,3,0,5,48,1566257157,25,25,0
84,6,0,15,52,1567224756,25,25,0
85,1,0,16,51,1567222814,25,25,0
86,2,0,76,48,1566965802,25,25,0
87,3,0,109,48,1567224720,25,25,0
88,6,0,141,48,1566436201,25,25,0
89,4,0,137,50,1566146147,25,25,0
90,4,0,208,51,1566940590,25,25,0
91,3,0,29,57,1567260578,25,25,0
92,1,0,32,58,1563338117,25,25,0
93,2,0,50,62,1567051069,25,25,0
94,2,0,54,61,1591409813,25,25,0
95,6,0,61,58,1566791478,25,25,0
96,2,0,68,60,1567224753,25,25,0
97,1,0,78,60,1567012074,25,25,0
98,2,0,102,58,1566965784,25,25,0
99,2,0,108,57,1567012021,25,25,0
100,4,0,114,60,1566773007,25,25,0
101,2,0,126,59,1563338118,25,25,0
102,2,0,143,56,1565534907,25,25,0
103,2,0,144,63,1566356370,25,25,0
104,3,0,159,59,1563338118,25,25,0
105,6,0,197,56,1566707985,25,25,0
106,2,0,214,57,1566257297,25,25,0
107,3,0,10,66,1566257143,25,25,0
108,2,0,34,70,1591995968,25,25,0
109,6,0,43,66,1566633622,25,25,0
110,3,0,47,67,1567224780,25,25,0
111,2,0,64,68,1566791515,25,25,0
112,4,0,100,66,1564027718,25,25,0
113,1,0,98,64,1567224731,25,25,0
114,6,0,107,65,1566791510,25,25,0
115,6,0,140,66,1566959880,25,25,0
116,1,0,144,67,1567244392,25,25,0
117,2,0,156,66,1563338118,25,25,0
118,3,0,201,67,1567222628,25,25,0
119,6,0,214,69,1566848060,25,25,0
120,2,0,214,68,1563338118,25,25,0
121,6,0,5,74,1566411943,25,25,0
122,1,0,8,76,1566619376,25,25,0
123,6,0,17,75,1592322818,25,25,0
124,4,0,40,75,1567220541,25,25,0
125,2,0,45,73,1567008231,25,25,0
126,2,0,95,76,1563338118,25,25,0
127,2,0,90,77,1563338118,25,25,0
128,3,0,111,74,1565402732,25,25,0
129,2,0,117,78,1564183507,25,25,0
130,2,0,123,74,1564183357,25,25,0
131,6,0,135,78,1566957682,25,25,0
132,2,0,128,78,1564183510,25,25,0
133,4,0,141,74,1566190212,25,25,0
134,6,0,154,74,1566836325,25,25,0
135,2,0,156,74,1567244409,25,25,0
136,1,0,152,79,1564196092,25,25,0
137,1,0,178,72,1566869385,25,25,0
138,1,0,198,79,1566925711,25,25,0
139,4,0,207,75,1567222617,25,25,0
140,6,0,216,77,1565362965,25,25,0
141,2,0,20,84,1567222833,25,25,0
142,1,0,38,87,1567037871,25,25,0
143,6,0,62,84,1567222749,25,25,0
144,2,0,60,80,1566965866,25,25,0
145,1,0,68,81,1566791525,25,25,0
146,4,0,78,80,1566968895,25,25,0
147,4,0,105,81,1563338118,25,25,0
148,6,0,113,84,1566009753,25,25,0
149,4,0,116,82,1563338118,25,25,0
150,3,0,113,83,1563338118,25,25,0
151,6,0,133,82,1567041457,25,25,0
152,6,0,144,80,1567244294,25,25,0
153,2,0,151,80,1566505831,25,25,0
154,6,0,171,80,1566866670,25,25,0
155,4,0,168,86,1564099888,25,25,0
156,3,0,200,86,1567222608,25,25,0
157,1,0,201,86,1567222610,25,25,0
158,6,0,208,87,1592346313,25,25,0
159,6,0,4,90,1567012186,25,25,0
160,1,0,13,94,1567215978,25,25,0
161,6,0,22,95,1567279970,25,25,0
162,4,0,18,90,1567222839,25,25,0
163,3,0,21,95,1567275538,25,25,0
164,1,0,34,90,1567052972,25,25,0
165,6,0,45,88,1567199589,25,25,0
166,6,0,69,94,1567279925,25,25,0
167,4,0,71,92,1566726253,25,25,0
168,2,0,78,90,1566968900,25,25,0
169,1,0,76,93,1566968899,25,25,0
170,1,0,87,90,1567055754,25,25,0
171,6,0,99,92,1567279845,25,25,0
172,6,0,99,91,1566247051,25,25,0
173,6,0,124,91,1565579533,25,25,0
174,1,0,158,93,1566606395,25,25,0
175,1,0,165,94,1566606397,25,25,0
176,2,0,197,88,1566148070,25,25,0
177,1,0,195,88,1565144659,25,25,0
178,1,0,206,91,1567187017,25,25,0
179,4,0,218,92,1565363677,25,25,0
180,6,0,2,103,1567222858,25,25,0
181,6,0,16,102,1567225456,25,25,0
182,1,0,22,98,1567107123,25,25,0
183,1,0,17,102,1567279964,25,25,0
184,6,0,41,98,1567222796,25,25,0
185,1,0,69,96,1563639911,25,25,0
186,2,0,79,96,1566965908,25,25,0
187,3,0,95,100,1563338118,25,25,0
188,4,0,107,98,1563338118,25,25,0
189,2,0,112,97,1565049304,25,25,0
190,6,0,170,103,1567223430,25,25,0
191,4,0,198,102,1567222592,25,25,0
192,2,0,205,101,1592346534,25,25,0
193,3,0,209,101,1591499098,25,25,0
194,4,0,8,110,1567212698,25,25,0
195,1,0,12,107,1567294634,25,25,0
196,1,0,18,109,1567279954,25,25,0
197,3,0,36,105,1567220789,25,25,0
198,6,0,40,107,1566765374,25,25,0
199,1,0,46,108,1567218247,25,25,0
200,1,0,50,109,1567104500,25,25,0
201,2,0,71,106,1567183543,25,25,0
202,7,0,87,107,1563338118,25,25,0
203,4,0,110,109,1566138027,25,25,0
204,2,0,141,107,1563338118,25,25,0
205,2,0,153,108,1566792720,25,25,0
206,6,0,163,109,1567188722,25,25,0
207,6,0,167,106,1566611361,25,25,0
208,2,0,164,104,1566792732,25,25,0
209,2,0,163,111,1567293843,25,25,0
210,1,0,166,108,1567293836,25,25,0
211,1,0,160,104,1566792715,25,25,0
212,7,0,179,108,1563338118,25,25,0
213,4,0,195,106,1567208779,25,25,0
214,1,0,204,108,1591499089,25,25,0
215,6,0,208,109,1566777211,25,25,0
216,3,0,2,118,1567144287,25,25,0
217,1,0,5,118,1566526862,25,25,0
218,1,0,5,112,1567215648,25,25,0
219,1,0,14,116,1567279957,25,25,0
220,6,0,23,113,1567047922,25,25,0
221,2,0,23,115,1567293357,25,25,0
222,2,0,39,112,1567033868,25,25,0
223,1,0,52,113,1567218234,25,25,0
224,1,0,95,118,1563338118,25,25,0
225,7,0,100,119,1563338118,25,25,0
226,6,0,96,113,1566724918,25,25,0
227,3,0,110,117,1566138008,25,25,0
228,6,0,114,115,1567038924,25,25,0
229,2,0,119,112,1565049295,25,25,0
230,2,0,134,114,1563338118,25,25,0
231,2,0,159,119,1563441163,25,25,0
232,1,0,171,119,1563338118,25,25,0
233,2,0,204,112,1591499089,25,25,0
234,3,0,219,114,1567223271,25,25,0
235,2,0,4,122,1567144291,25,25,0
236,6,0,9,121,1567218175,25,25,0
237,2,0,9,127,1567144300,25,25,0
238,3,0,19,120,1591499471,25,25,0
239,2,0,24,125,1567260665,25,25,0
240,1,0,103,120,1563338118,25,25,0
241,4,0,113,122,1567106459,25,25,0
242,6,0,135,125,1566356387,25,25,0
243,3,0,189,123,1567223301,25,25,0
244,6,0,193,127,1567081329,25,25,0
245,4,0,202,120,1567153408,25,25,0
246,2,0,205,121,1567180667,25,25,0
247,4,0,18,128,1567144176,25,25,0
248,4,0,51,131,1567218224,25,25,0
249,2,0,54,134,1567218226,25,25,0
250,1,0,52,134,1567223126,25,25,0
251,1,0,54,131,1567260228,25,25,0
252,2,0,61,132,1567181745,25,25,0
253,2,0,79,129,1563975179,25,25,0
254,1,0,101,132,1567279937,25,25,0
255,1,0,99,131,1567279943,25,25,0
256,1,0,102,135,1567279935,25,25,0
257,1,0,108,130,1567279930,25,25,0
258,4,0,138,128,1565192510,25,25,0
259,1,0,145,128,1566159797,25,25,0
260,1,0,145,135,1563338118,25,25,0
261,2,0,156,129,1566146654,25,25,0
262,1,0,168,128,1567223334,25,25,0
263,6,0,185,131,1566968468,25,25,0
264,6,0,194,129,1566358971,25,25,0
