kind,lo,hi,startDx,result,defaultOpen
map,5,5,0,15;16;17;18,1
map,6,6,-1,15;16;17;18,1
map,7,7,-2,15;16;17;18,1
map,8,8,-3,15;16;17;18,1
map,15,15,0,5;6;7;8,
map,16,16,-1,5;6;7;8,
map,17,17,-2,5;6;7;8,
map,18,18,-3,5;6;7;8,
map,51,51,0,114
map,114,114,0,51
map,57,57,0,115
map,115,115,0,57
map,76,76,0,116
map,116,116,0,76
map,82,82,0,117
map,117,117,0,82
map,53,53,0,102;103;104
map,54,54,-1,102;103;104
map,55,55,-2,102;103;104
map,102,102,0,53;54;55
map,103,103,-1,53;54;55
map,104,104,-2,53;54;55
map,78,78,0,105;106;107
map,79,79,-1,105;106;107
map,80,80,0,105;106;107
map,105,105,0,78;79;80
map,106,106,-1,78;79;80
map,107,107,-2,78;79;80
map,97,97,-1,108;109;110
map,109,109,-1,96;97;98
map,100,100,-1,111;112;113
map,112,112,-1,99;100;101
delta,340,341,0,20
delta,342,343,0,22
delta,344,345,0,18
delta,346,347,0,20
delta,348,349,0,22
delta,350,353,0,24
delta,354,355,0,14
delta,360,361,0,-20
delta,362,363,0,-18
delta,364,365,0,-22
delta,366,367,0,-20
delta,368,369,0,-14
delta,370,371,0,-22
delta,374,377,0,-24
delta,378,379,0,16
delta,380,381,0,107
delta,394,395,0,-16
delta,487,488,0,-107
