# Tile533Map.csv - legacy sheet-2 frame index -> 5.33 TILE.EPF frame index.
#
# WHY THIS FILE EXISTS
#   A 4.x .map ground word v is decoded by the 4.x client (NexusTK.exe sub_431820) as:
#       v == 0        -> draw nothing
#       v <  0xC000   -> TileA[v - 1]        (sheet 1; the "base" u16 in TileA.tbl is 0x0001)
#       v >= 0xC000   -> TileB[v - 0xC000]   (sheet 2; the "base" u16 in TileB.tbl is 0xC000)
#   The 5.33 client (sub_4443d0) has no such branch - it indexes one merged TILE.EPF directly by v,
#   with no subtraction. TileA landed at TILE[i+1], so sheet-1 cells need NO change. TileB was
#   RE-PACKED, not appended: 232 distinct deltas. Hence this table.
#
# FORMAT: startLegacy,count,start533
#   legacy indices [startLegacy .. startLegacy+count-1] map to [start533 .. start533+count-1].
#
# PROVENANCE: generated by matching each legacy frame's RENDERED colour (pixels resolved through its
#   own palette) against every frame of TILE.EPF. Verified end to end: all 1,722,232 cells of the
#   1,750 shipped maps render byte-identically under the 4.x and 5.33 pipelines.
#
# entries=8930  runs=1190  unmapped=8  (legacy frames with no 5.33 equivalent: 6887,6888,6891,6892,6895,6896,6899,6900 - none are referenced by any shipped map)
0,111,17698
111,1,17773
112,6,17810
118,1,17698
119,85,17817
204,1,43
205,1,21
206,1,64
207,1,42
208,1,298
209,1,312
210,1,339
211,2,405
213,2,427
215,2,449
217,1,297
218,1,313
219,1,90
220,1,81
221,8,68
229,8,117
237,6,1075
243,2,17902
245,1,1083
246,6,1088
252,100,17904
352,3,803
355,32,18004
387,1,18032
388,46,18037
434,1,859
435,1,832
436,1,836
437,19,840
456,13,876
469,1,1429
470,26,1265
496,1,1227
497,7,1292
504,3,18084
507,1,876
508,23,18087
531,4,2186
535,6,18110
541,1,2190
542,1,2173
543,1,2191
544,15,18116
559,1,2192
560,8,18131
568,3,2193
571,6,18139
577,2,2196
579,6,18146
585,6,2197
591,3,18152
594,3,2203
597,23,18155
620,5,2206
625,6,18178
631,1,2214
632,2,2211
634,6,18184
640,3,2213
643,8,18191
651,1,2216
652,128,18199
780,1,1845
781,10,18327
791,1,1856
792,78,18337
870,1,18411
871,21,18416
892,1,18272
893,6,18438
899,1,18279
900,6,18445
906,1,18286
907,6,18452
913,1,18293
914,5,18459
919,1,18460
920,1,18300
921,3,18466
924,1,18304
925,3,18470
928,1,18308
929,4,18474
933,1,18474
934,1,18314
935,3,18480
938,1,18318
939,38,18484
977,2,1578
979,2,1587
981,39,18522
1020,4,18557
1024,135,18565
1159,1,18600
1160,32,18701
1192,1,2400
1193,5,18733
1198,1,18272
1199,6,18739
1205,1,18279
1206,6,18746
1212,1,18286
1213,6,18753
1219,1,18293
1220,6,18760
1226,1,18300
1227,3,18767
1230,1,18304
1231,3,18771
1234,1,18308
1235,5,18775
1240,1,18314
1241,3,18781
1244,1,18318
1245,55,18785
1300,1,18272
1301,6,18841
1307,1,18279
1308,6,18848
1314,1,18286
1315,6,18855
1321,1,18293
1322,6,18862
1328,1,18300
1329,3,18869
1332,1,18304
1333,3,18873
1336,1,18308
1337,5,18877
1342,1,18314
1343,3,18883
1346,1,18318
1347,55,18887
1402,1,18789
1403,6,18943
1409,1,18796
1410,6,18950
1416,1,18803
1417,6,18957
1423,1,18810
1424,6,18964
1430,1,18817
1431,3,18971
1434,1,18821
1435,3,18975
1438,1,18825
1439,5,18979
1444,1,18831
1445,3,18985
1448,1,18835
1449,4,18989
1453,1,18272
1454,6,18994
1460,1,18279
1461,6,19001
